participant_id,task,stimuli_number,trial_number,layout,orientation,correct,response,duration,time_when
67eec1cf02e625e0d469f1ed,compare_index,27,2,vertical,vertical,1,2,1852.9,43:39.6
667871d17d7fdf0358f82a28,compare_index,1,11,vertical,horizontal,1,1,1522.1,43:42.7
6562421abbbe0dc4b89ad4ff,compare_height,76,11,vertical,horizontal,1,1,1555,43:42.0
5e0b416415ef4038dba6d93f,compare_length,41,34,vertical,horizontal,1,1,1683,43:43.5
5e84bd7c34d5d9072128fac1,compare_index,94,15,vertical,horizontal,1,2,1826,43:49.2
670391e01385e6794f0eff25,compare_length,35,3,vertical,vertical,1,1,1204.7,43:51.2
667871d17d7fdf0358f82a28,compare_index,29,15,vertical,horizontal,1,2,1304.4,43:52.8
6562421abbbe0dc4b89ad4ff,compare_height,75,15,vertical,horizontal,1,1,2158,43:51.8
67eec1cf02e625e0d469f1ed,compare_index,20,6,vertical,vertical,1,1,1998.7,43:49.9
670391e01385e6794f0eff25,compare_length,60,4,vertical,vertical,1,2,1211.2,43:53.3
5e84bd7c34d5d9072128fac1,compare_index,64,17,vertical,horizontal,1,1,888,43:52.6
667871d17d7fdf0358f82a28,compare_index,3,16,vertical,horizontal,1,1,1347.4,43:55.0
67eec1cf02e625e0d469f1ed,compare_index,6,7,vertical,vertical,0,2,1974.6,43:52.8
5e84bd7c34d5d9072128fac1,compare_index,73,1,vertical,horizontal,1,2,1117,43:16.9
67eceb1d5f0b5f9f2743964e,compare_length,-999,32,horizontal,horizontal,1,1,844.4,43:32.7
5e0b416415ef4038dba6d93f,compare_length,-999,32,vertical,horizontal,1,1,739,43:37.3
5e84bd7c34d5d9072128fac1,compare_index,92,10,vertical,horizontal,1,2,1908,43:37.9
5e84bd7c34d5d9072128fac1,compare_index,65,16,vertical,horizontal,1,1,804,43:50.9
6562421abbbe0dc4b89ad4ff,compare_height,94,17,vertical,horizontal,1,2,2019,43:58.9
5e84bd7c34d5d9072128fac1,compare_index,83,20,vertical,horizontal,1,1,1352,43:58.9
670391e01385e6794f0eff25,compare_length,52,7,vertical,vertical,1,2,1370,44:00.0
67eec1cf02e625e0d469f1ed,compare_index,24,9,vertical,vertical,1,2,1561.3,43:58.1
667871d17d7fdf0358f82a28,compare_index,10,19,vertical,horizontal,1,2,1570.4,44:02.2
6562421abbbe0dc4b89ad4ff,compare_height,79,18,vertical,horizontal,1,1,1442,44:01.2
670391e01385e6794f0eff25,compare_length,53,8,vertical,vertical,0,1,1319.4,44:02.2
67eec1cf02e625e0d469f1ed,compare_index,12,10,vertical,vertical,1,2,1355.2,44:00.3
5e84bd7c34d5d9072128fac1,compare_index,72,21,vertical,horizontal,1,2,2174,44:01.9
6562421abbbe0dc4b89ad4ff,compare_height,88,19,vertical,horizontal,1,2,1345,44:03.4
667871d17d7fdf0358f82a28,compare_index,21,20,vertical,horizontal,1,1,1733,44:04.9
67eec1cf02e625e0d469f1ed,compare_index,15,11,vertical,vertical,1,2,1242.2,44:02.5
670391e01385e6794f0eff25,compare_length,58,9,vertical,vertical,1,1,1748.6,44:04.8
5e84bd7c34d5d9072128fac1,compare_index,90,22,vertical,horizontal,1,2,1381,44:04.1
6562421abbbe0dc4b89ad4ff,compare_height,82,20,vertical,horizontal,1,2,1647,44:05.9
670391e01385e6794f0eff25,compare_length,39,10,vertical,vertical,1,2,1028.1,44:06.7
67eec1cf02e625e0d469f1ed,compare_index,11,12,vertical,vertical,1,2,1537.8,44:04.9
667871d17d7fdf0358f82a28,compare_index,17,21,vertical,horizontal,1,1,2299.4,44:08.0
5e84bd7c34d5d9072128fac1,compare_index,-999,23,vertical,horizontal,1,1,1021,44:06.0
6562421abbbe0dc4b89ad4ff,compare_height,66,21,vertical,horizontal,1,1,1744,44:08.5
5e0b416415ef4038dba6d93f,compare_length,106,0,vertical,vertical,1,1,989,46:06.5
670391e01385e6794f0eff25,compare_length,80,4,horizontal,horizontal,1,1,1190.1,46:05.7
5e84bd7c34d5d9072128fac1,compare_index,97,27,horizontal,horizontal,1,1,770,46:05.6
5e0b416415ef4038dba6d93f,compare_length,105,1,vertical,vertical,1,1,757,46:08.1
6562421abbbe0dc4b89ad4ff,compare_height,-999,14,horizontal,horizontal,1,2,1063,46:07.1
670391e01385e6794f0eff25,compare_length,-999,5,horizontal,horizontal,1,2,790.6999998,46:07.4
5b5a822e1ad8270001c4f28d,compare_index,53,27,vertical,vertical,1,1,1365,46:07.3
5e84bd7c34d5d9072128fac1,compare_index,112,28,horizontal,horizontal,1,1,645,46:07.1
6562421abbbe0dc4b89ad4ff,compare_height,122,15,horizontal,horizontal,1,2,858,46:08.8
670391e01385e6794f0eff25,compare_length,68,6,horizontal,horizontal,1,2,1247.6,46:09.5
5e0b416415ef4038dba6d93f,compare_length,115,2,vertical,vertical,1,1,1591,46:10.6
5b5a822e1ad8270001c4f28d,compare_index,61,28,vertical,vertical,0,1,1385.3,46:09.5
5e84bd7c34d5d9072128fac1,compare_index,127,29,horizontal,horizontal,1,2,865,46:08.8
5e84bd7c34d5d9072128fac1,compare_index,110,30,horizontal,horizontal,1,2,590,46:10.2
5e0b416415ef4038dba6d93f,compare_length,123,3,vertical,vertical,1,1,730,46:12.2
5b5a822e1ad8270001c4f28d,compare_index,59,29,vertical,vertical,1,2,968.4,46:11.3
6562421abbbe0dc4b89ad4ff,compare_height,107,16,horizontal,horizontal,1,1,1829,46:11.5
670391e01385e6794f0eff25,compare_length,81,7,horizontal,horizontal,1,1,1293.5,46:11.7
5e0b416415ef4038dba6d93f,compare_length,126,4,vertical,vertical,1,2,1068,46:14.2
670391e01385e6794f0eff25,compare_length,94,8,horizontal,horizontal,1,2,1083.7,46:13.7
5b5a822e1ad8270001c4f28d,compare_index,39,30,vertical,vertical,1,1,1359.4,46:13.5
5e84bd7c34d5d9072128fac1,compare_index,114,31,horizontal,horizontal,1,1,2239,46:13.3
67eb4effae47ce8d18f8c833,compare_height,55,10,horizontal,horizontal,1,2,124,34:40.5
67eb4effae47ce8d18f8c833,compare_height,34,11,horizontal,horizontal,0,2,127.6000001,34:41.4
67eb4effae47ce8d18f8c833,compare_height,36,12,horizontal,horizontal,0,2,58.5,34:42.3
67eb4effae47ce8d18f8c833,compare_height,58,13,horizontal,horizontal,1,2,200,34:43.4
67eb4effae47ce8d18f8c833,compare_height,-999,14,horizontal,horizontal,0,2,128.3,34:44.4
